index,period_bin,radius_bin,period,radius_earth,t0,b,rp_rs,a_rs,duration,u1,u2,recovered,match,n_transits_in_data,found_period,found_t0,found_depth,found_sde,found_snr,found_detected,n_detections,runtime_s
0,0,0,0.6828263904859496,0.7472089542011818,2000.5458965491766,0.27850682779352254,0.006850328346687592,3.2632072402973527,0.0656768925079059,0.4,0.2,False,none,77,0.5936161112882413,2027.1765270913043,4.710569123733688e-05,4.6425477442514484,4.671448466379698,False,0,5.3399395600026764
2,0,0,0.5901901966230153,0.7371061165986429,2000.3640337478623,0.5298833839857572,0.006757706658441575,2.96095939421529,0.056030405861450736,0.4,0.2,False,none,90,1.7147532558989758,2028.2524583443835,0.00017298966372747415,4.322274163535953,5.357401823170896,False,0,5.432335146997502
1,0,0,0.7913832282982161,0.7309843085527712,2000.1431009334367,0.07085298038579908,0.006701582605117766,3.600496160294588,0.07121671048516438,0.4,0.2,False,none,68,2.5689967475320525,2028.2399674753206,0.00020562019579717372,4.782033766517282,5.2773890143451245,False,0,5.482074778999959
3,0,0,0.5248972252608185,0.831601764273155,2000.2441397771852,0.004166678995547202,0.007624032216056648,2.7383396112649208,0.06295922283215759,0.4,0.2,True,exact,100,0.5248495064900545,2027.5217316291496,6.528793708349134e-05,9.098410819548686,7.3618321417664285,True,1,10.385540369999944
4,0,0,0.7840534416509519,0.892938701149998,2000.2550915168076,0.5371401300337068,0.0081863624116786,3.578229850689066,0.0607884919192467,0.4,0.2,False,none,68,0.7843152239365117,2027.6971265877778,8.294022588239969e-05,7.513582666510966,5.977994617807322,False,0,5.280633352002042
5,0,0,0.5499103832039001,0.801028651921985,2000.4811484011511,0.25023725976781375,0.0073437413322173534,2.8246571214566982,0.06199423030264732,0.4,0.2,False,none,97,0.5498669927953272,2027.430982646971,6.974181655095002e-05,7.431875077931091,6.1541473711434245,False,0,5.235967698001332
6,0,0,0.5516407766889757,0.7609684756019084,2000.1480412568571,0.7264637878210725,0.006976474104120356,2.8305795512830323,0.04525604286054924,0.4,0.2,False,none,96,0.5936161112882413,2027.1765270913043,4.801285364319785e-05,4.955796117172223,4.830823582283063,False,0,5.6743266759986
7,0,0,0.565785227748698,0.7152734165953119,2000.1494835350093,0.42048793244280686,0.006557546900081298,2.878760445681198,0.05887571741199066,0.4,0.2,False,none,94,0.5655394459313153,2027.29888819637,7.311190028269632e-05,7.064147766847131,5.792061940388185,False,0,5.414376777000143
8,0,0,0.7533335573167216,0.7637713239857713,2000.3670579044608,0.6963902385286838,0.007002170305467368,3.484143226837862,0.05148765002777582,0.4,0.2,False,none,71,0.5936161112882413,2027.1765270913043,4.785271880347608e-05,4.840089902633469,4.75918511237487,False,0,5.520872391000012
9,0,0,0.6204321983027101,0.9390940496143273,2000.0490354350982,0.8084046008803901,0.008609509498124394,3.061263237722039,0.0406279411287245,0.4,0.2,False,none,87,0.5936161112882413,2027.1765270913043,4.789225086587745e-05,4.8276553430248255,4.670472422986595,False,0,5.509012596998218
10,0,0,0.5598529852555357,0.7405185552536339,2000.310064522167,0.8149274136368432,0.006788991515399169,2.858602634330542,0.03875606205904406,0.4,0.2,False,none,95,0.5936161112882413,2027.1765270913043,4.7550461706347136e-05,4.703637954297877,4.712301561495459,False,0,5.27365077200011
13,0,0,0.5854052145108997,0.7613383685654246,2000.3337427493955,0.22620936250575316,0.00697986524155115,2.944933654392331,0.06349351843752372,0.4,0.2,False,none,91,1.1700774830997887,2027.2617170071285,9.397465916771708e-05,5.464667474661481,5.12767686879755,False,0,5.273049939001794
12,0,0,0.5555190011918564,0.7051071624105837,2000.1871281119884,0.6265070851341655,0.006464343815683404,2.8438306870689365,0.05091225808944746,0.4,0.2,False,none,95,0.5936161112882413,2027.1765270913043,4.720641256128477e-05,4.726897115400404,4.753849808166816,False,0,5.327216605001013
14,0,0,0.5832130271007456,0.7968616376170262,2000.294615700865,0.18173682534757782,0.007305538609867982,2.937577060725245,0.06399281694280079,0.4,0.2,False,none,92,1.4099009224078451,2027.4339183069992,0.00015189409212945648,4.3187339627439165,5.2798239807640055,False,0,5.285013861001062
11,0,0,0.5934682673891298,0.9023605139550596,2000.40454004919,0.3138953205848519,0.008272740540544438,2.97191323184618,0.06237477412779969,0.4,0.2,False,none,88,0.5935409006913493,2027.1530579790274,6.669370069545266e-05,11.317953487688289,7.689315355475273,True,1,9.518196524000814
16,0,0,0.5112400806666711,0.7730738277548601,2000.3059537520542,0.46703819751222847,0.007087454622399415,2.690632521603151,0.055888040812722604,0.4,0.2,False,none,103,0.5107186558672444,2027.3998595942974,4.042517115010469e-05,4.883245589360357,4.844023145572663,False,0,5.183480764000706
15,0,0,0.654934979470204,0.7955771721150597,2000.6182211692724,0.36310217948558454,0.00729376277341823,3.1737295458645995,0.06308385669691594,0.4,0.2,False,none,81,0.5936161112882413,2027.1765270913043,4.75382850084749e-05,4.811323238062584,4.595975988304927,False,0,5.201784684002632
17,0,0,0.5098470567244179,0.7533625165823049,2000.0039415049032,0.048830709150471795,0.006906743520215034,2.685742686254025,0.06230104281891701,0.4,0.2,False,none,104,0.5102594096315163,2027.5502916792202,5.691180718714328e-05,5.468298189189438,4.816572151447209,False,0,5.430265189999773
