index,period_bin,radius_bin,period,radius_earth,t0,b,rp_rs,a_rs,duration,u1,u2,recovered,match,n_transits_in_data,found_period,found_t0,found_depth,found_sde,found_snr,found_detected,found_brightening_ratio,n_detections,n_skipped_variability,skipped_variability_at_period,runtime_s
0,0,0,0.6828263904859496,0.7472089542011818,2000.5458965491766,0.27850682779352254,0.006850328346687592,3.2632072402973527,0.0656768925079059,0.4,0.2,False,none,77,0.5936161112882413,2027.1765270913043,4.710569123733688e-05,4.6425477442514484,4.671448466379698,False,0.6257440228427941,0,0,False,5.31873437700051
1,0,0,0.7913832282982161,0.7309843085527712,2000.1431009334367,0.07085298038579908,0.006701582605117766,3.600496160294588,0.07121671048516438,0.4,0.2,False,none,68,2.5689967475320525,2028.2399674753206,0.00020562019579717372,4.782033766517282,5.2773890143451245,False,0.5082114116394453,0,0,False,5.347354710000218
2,0,0,0.5901901966230153,0.7371061165986429,2000.3640337478623,0.5298833839857572,0.006757706658441575,2.96095939421529,0.056030405861450736,0.4,0.2,False,none,90,1.7147532558989758,2028.2524583443835,0.00017298966372747415,4.322274163535953,5.357401823170896,False,0.6186779099023222,0,0,False,5.568001085001015
4,0,0,0.7840534416509519,0.892938701149998,2000.2550915168076,0.5371401300337068,0.0081863624116786,3.578229850689066,0.0607884919192467,0.4,0.2,False,none,68,0.7843152239365117,2027.6971265877778,8.294022588239969e-05,7.513582666510966,5.977994617807322,False,0.36699922292639087,0,0,False,5.2505254019997665
3,0,0,0.5248972252608185,0.831601764273155,2000.2441397771852,0.004166678995547202,0.007624032216056648,2.7383396112649208,0.06295922283215759,0.4,0.2,True,exact,100,0.5248495064900545,2027.5217316291496,6.528793708349134e-05,9.098410819548686,7.3618321417664285,True,0.4190083392121467,1,0,False,10.634644500998547
5,0,0,0.5499103832039001,0.801028651921985,2000.4811484011511,0.25023725976781375,0.0073437413322173534,2.8246571214566982,0.06199423030264732,0.4,0.2,False,none,97,0.5498669927953272,2027.430982646971,6.974181655095002e-05,7.431875077931091,6.1541473711434245,False,0.2786074463048269,0,0,False,5.35340515200005
6,0,0,0.5516407766889757,0.7609684756019084,2000.1480412568571,0.7264637878210725,0.006976474104120356,2.8305795512830323,0.04525604286054924,0.4,0.2,False,none,96,0.5936161112882413,2027.1765270913043,4.801285364319785e-05,4.955796117172223,4.830823582283063,False,0.6185055963409484,0,0,False,5.30805401500038
7,0,0,0.565785227748698,0.7152734165953119,2000.1494835350093,0.42048793244280686,0.006557546900081298,2.878760445681198,0.05887571741199066,0.4,0.2,False,none,94,0.5655394459313153,2027.29888819637,7.311190028269632e-05,7.064147766847131,5.792061940388185,False,0.5173852948355915,0,0,False,5.13553246399897
8,0,0,0.7533335573167216,0.7637713239857713,2000.3670579044608,0.6963902385286838,0.007002170305467368,3.484143226837862,0.05148765002777582,0.4,0.2,False,none,71,0.5936161112882413,2027.1765270913043,4.785271880347608e-05,4.840089902633469,4.75918511237487,False,0.6355069244377614,0,0,False,5.206764657999884
9,0,0,0.6204321983027101,0.9390940496143273,2000.0490354350982,0.8084046008803901,0.008609509498124394,3.061263237722039,0.0406279411287245,0.4,0.2,False,none,87,0.5936161112882413,2027.1765270913043,4.789225086587745e-05,4.8276553430248255,4.670472422986595,False,0.6180490007410313,0,0,False,5.311517571000877
