regime,n_sectors,seed,cdpp_1h_ppm,n_skipped_variability,rotation_period,period,sde,snr,depth_ppm,n_transits,snr_threshold,detected,rotation_warning
quiet,1,0,56.36629896334281,0,10.538461538387677,1.9516291758618847,4.617907297999956,6.089326809369441,121.81152946200146,14,7.0,False,False
quiet,1,1,56.813343058114135,2,12.454545454458165,2.202247754401912,4.036758376254917,5.231273697481925,73.34701971695168,12,7.0,False,False
quiet,1,2,60.738266022000985,1,12.454545454458165,0.5647366259520574,4.3025183733646735,5.042719871437013,51.90329210336131,46,7.0,False,False
quiet,1,3,56.42881008208154,0,12.454545454458165,0.6276124963910292,4.575635068884062,4.667342156259437,24.624999650058044,42,7.0,False,False
quiet,1,4,57.71176875783097,0,11.41666666658665,2.4500440358495705,5.705602936699771,5.7764956657772295,91.36685881305783,12,7.0,False,False
quiet,1,5,58.368624432848776,3,12.454545454458165,3.4426089042720465,3.9561500501849634,5.0976962730343605,159.24061047511984,8,7.0,False,False
quiet,1,6,59.14531718835912,0,12.454545454458165,0.7206956233433146,5.119494071550655,5.21553340575457,38.062648753389716,36,7.0,False,False
quiet,1,7,61.2107889843899,0,11.41666666658665,0.5970442243325437,5.617277671912369,5.821777071821102,68.90650652424668,44,7.0,False,False
quiet,1,8,60.77030733680264,0,5.9565217390886875,0.9216838728115153,5.4463588358543715,5.19347050856444,36.605206144457725,29,7.0,False,False
quiet,1,9,60.23080873325915,0,12.454545454458165,1.2946183456532632,4.284005725813607,4.585037341180773,30.17141967398551,20,7.0,False,False
quiet,1,10,58.77841921488338,0,12.454545454458165,1.2259289514561797,5.075646719363641,5.727452891444014,84.90670269956091,22,7.0,False,False
quiet,1,11,56.06570387265757,0,11.41666666658665,0.7803265463405824,5.309557354219696,4.812531544945866,35.878421780100034,34,7.0,False,False
quiet,1,12,62.39919134323414,0,11.41666666658665,0.6370797571766199,4.84576867947253,5.101143234768486,74.84899275234102,42,7.0,False,False
quiet,1,13,59.32403935823982,0,12.454545454458165,6.95178165803311,4.301392581252253,6.4515706528876935,211.49859415658943,3,7.0,False,False
